"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
64,"Phil Parrot-Migas","5:07.8",2015,NA,"CanadaLewis Kent Rules the Worl...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Phil+Parrot-Migas","https://www.beermile.com/display/event_6572","Lewis Kent Rules the World","Canada","November 17, 2015",5,7.8,307.8
65,"Michael Cunningham","5:07.9",2014,NA,"Circuit of the Americas, ...Flotrack 2014 Championshi...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Michael+Cunningham","https://www.beermile.com/display/event_6188","Flotrack 2014 Championships, Men's Elite","Circuit of the Americas, Austin, TX","December 3, 2014",5,7.9,307.9
66,"Jim Finlayson","5:08",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Finlayson","https://www.beermile.com/display/event_6606","FloTrack 2015 Championships, Men's Elite","Austin, TX, United States","December 1, 2015",5,8,308
67,"Brandon Shirck","5:08.77",2017,NA,"Allianz Park, London Engl...Beer Mile World Classic: ...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Brandon+Shirck","https://www.beermile.com/display/event_151096","Beer Mile World Classic: 2017 Men","Allianz Park, London England","August 12, 2017",5,8.77,308.77
68,"Phil ""CAN"" Parrot-Migas","5:09",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Amsterdam  Blonded","https://www.beermile.com/records/ref_beer/beertype_Amsterdam++Blonded","https://www.beermile.com/query_indy/submit_1/ref_query/name_Phil+""CAN""+Parrot-Migas","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,9,309
69,"Jim Finlayson","5:09",2007,NA,"Victoria, BC4th Annual Dave Smart Bee...","Granville Island Winter A...","https://www.beermile.com/records/ref_beer/beertype_Granville+Island+Winter+A...","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Finlayson","https://www.beermile.com/display/event_913","4th Annual Dave Smart Beer Mile","Victoria, BC","December 18, 2007",5,9,309
70,"Corey Gallagher","5:10",2012,NA,"Winnipeg, MBManitoba Summer Beermile ...","Kokanee Gold","https://www.beermile.com/records/ref_beer/beertype_Kokanee+Gold","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Gallagher","https://www.beermile.com/display/event_5666","Manitoba Summer Beermile 2012","Winnipeg, MB","August 25, 2012",5,10,310
71,"Nick ""FInchy"" Finch","5:10.2",2018,NA,"Vancouver, BC, CanadaBeer Mile World Classic 2...","Molson Canadian","https://www.beermile.com/records/ref_beer/beertype_Molson+Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Nick+""FInchy""+Finch","https://www.beermile.com/display/event_151287","Beer Mile World Classic 2018","Vancouver, BC, Canada","August 11, 2018",5,10.2,310.2
72,"Lewis ""Capeman"" Kent","5:11",2015,NA,"London, ONOntario Beer Mile Champio...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+""Capeman""+Kent","https://www.beermile.com/display/event_6423","Ontario Beer Mile Championships","London, ON","June 27, 2015",5,11,311
73,"Lewis Kent","5:11",2016,NA,"London, United KingdomBeer Mile World Classic L...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016",5,11,311
